"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","167","TC_PRODUCT_021 - Verify User Can Change Sorting Multiple Times","chromium","2026-05-28","failed","2026-05-28","Product Sorting Tests","product/sorting.spec.js","",""
"","7008","11. Forgot Password","webkit","2026-05-28","failed","2026-05-28","","auth/login.spec.js","",""
"","401","TC_PRODUCT_002 - Search Non Existing Product","webkit","2026-05-28","failed","2026-05-28","Product Search Tests","product/search.spec.js","",""
"","1700","TC_PRODUCT_019 - Verify Sorting Dropdown Is Enabled","firefox","2026-05-28","failed","2026-05-28","Product Sorting Tests","product/sorting.spec.js","",""
"","6744","7. Login with Invalid Password","webkit","2026-05-28","failed","2026-05-28","","auth/login.spec.js","",""
"","3169","TC_PRODUCT_004 - Verify Product Price Visible","firefox","2026-05-28","failed","2026-05-28","Product Service Tests","product/product.spec.js","",""
"","35747","1.Valid Registration","chromium","2026-05-28","failed","2026-05-28","","auth/registration.spec.js","",""
"","1844","TC_PRODUCT_014 - Sort Products By Name Z-A","firefox","2026-05-28","failed","2026-05-28","Product Sorting Tests","product/sorting.spec.js","",""
"","2599","12. Password Minimum Length Validation","webkit","2026-05-28","passed","2026-05-28","","auth/login.spec.js","",""
"","145","TC_PRODUCT_013 - Sort Products By Name A-Z","chromium","2026-05-28","failed","2026-05-28","Product Sorting Tests","product/sorting.spec.js","",""
"","36153","9. Successful Login","webkit","2026-05-28","failed","2026-05-28","","auth/login.spec.js","",""
"","1033","TC_PRODUCT_005 - Verify Product Image Visible","chromium","2026-05-28","failed","2026-05-28","Product Service Tests","product/product.spec.js","",""
"","1025","TC_PRODUCT_003 - Open Product Details Page","chromium","2026-05-28","failed","2026-05-28","Product Service Tests","product/product.spec.js","",""
"","6083","15. Login With Unregistered Email","chromium","2026-05-28","failed","2026-05-28","","auth/login.spec.js","",""
"","5992","11. Forgot Password","chromium","2026-05-28","failed","2026-05-28","","auth/login.spec.js","",""
"","1083","TC_PRODUCT_024 - Verify Product Count Is Greater Than Zero","firefox","2026-05-28","failed","2026-05-28","Product Filter Tests","product/filter.spec.js","",""
"","1513","TC_PRODUCT_002 - Search Non Existing Product","webkit","2026-05-28","failed","2026-05-28","Product Service Tests","product/product.spec.js","",""
"","109","TC_PRODUCT_022 - Verify Product Page Loads Successfully","chromium","2026-05-28","failed","2026-05-28","Product Filter Tests","product/filter.spec.js","",""
"","35591","9. Successful Login","chromium","2026-05-28","failed","2026-05-28","","auth/login.spec.js","",""
"","946","13. Empty Confirm Password","chromium","2026-05-28","passed","2026-05-28","","auth/login.spec.js","",""
"","7650","15. Login With Unregistered Email","firefox","2026-05-28","failed","2026-05-28","","auth/login.spec.js","",""
"","1737","TC_PRODUCT_001 - Search Existing Product","firefox","2026-05-28","failed","2026-05-28","Product Search Tests","product/search.spec.js","",""
"","1490","TC_PRODUCT_020 - Verify Products Are Visible After Applying Sorting","firefox","2026-05-28","failed","2026-05-28","Product Sorting Tests","product/sorting.spec.js","",""
"","270","TC_PRODUCT_022 - Verify Product Page Loads Successfully","webkit","2026-05-28","failed","2026-05-28","Product Filter Tests","product/filter.spec.js","",""
"","359","TC_PRODUCT_019 - Verify Sorting Dropdown Is Enabled","webkit","2026-05-28","failed","2026-05-28","Product Sorting Tests","product/sorting.spec.js","",""
"","154","TC_PRODUCT_014 - Sort Products By Name Z-A","chromium","2026-05-28","failed","2026-05-28","Product Sorting Tests","product/sorting.spec.js","",""
"","1506","TC_PRODUCT_025 - Verify Product Titles Are Visible","firefox","2026-05-28","failed","2026-05-28","Product Filter Tests","product/filter.spec.js","",""
"","550","Registration with Invalid Email","chromium","2026-05-28","passed","2026-05-28","","auth/registration.spec.js","",""
"","1258","4.Registration with Password Mismatch","webkit","2026-05-28","passed","2026-05-28","","auth/registration.spec.js","",""
"","1015","13. Empty Confirm Password","firefox","2026-05-28","passed","2026-05-28","","auth/login.spec.js","",""
"","3329","TC_PRODUCT_005 - Verify Product Image Visible","firefox","2026-05-28","failed","2026-05-28","Product Service Tests","product/product.spec.js","",""
"","1669","19. Logout Without Active Session","webkit","2026-05-28","passed","2026-05-28","","auth/logout.spec.js","",""
"","145","TC_PRODUCT_016 - Sort Products By Price High To Low","chromium","2026-05-28","failed","2026-05-28","Product Sorting Tests","product/sorting.spec.js","",""
"","716","TC_PRODUCT_021 - Verify User Can Change Sorting Multiple Times","firefox","2026-05-28","failed","2026-05-28","Product Sorting Tests","product/sorting.spec.js","",""
"","1873","TC_PRODUCT_013 - Sort Products By Name A-Z","firefox","2026-05-28","failed","2026-05-28","Product Sorting Tests","product/sorting.spec.js","",""
"","1570","TC_PRODUCT_015 - Sort Products By Price Low To High","firefox","2026-05-28","failed","2026-05-28","Product Sorting Tests","product/sorting.spec.js","",""
"","37252","1.Valid Registration","webkit","2026-05-28","failed","2026-05-28","","auth/registration.spec.js","",""
"","120","TC_PRODUCT_019 - Verify Sorting Dropdown Is Enabled","chromium","2026-05-28","failed","2026-05-28","Product Sorting Tests","product/sorting.spec.js","",""
"","967","TC_PRODUCT_002 - Search Non Existing Product","chromium","2026-05-28","failed","2026-05-28","Product Service Tests","product/product.spec.js","",""
"","21729","5. Registration with Existing Email","firefox","2026-05-28","failed","2026-05-28","","auth/registration.spec.js","",""
"","1759","TC_PRODUCT_004 - Verify Product Price Visible","webkit","2026-05-28","failed","2026-05-28","Product Service Tests","product/product.spec.js","",""
"","587","TC_PRODUCT_018 - Verify Product Count After Sorting","webkit","2026-05-28","failed","2026-05-28","Product Sorting Tests","product/sorting.spec.js","",""
"","354","TC_PRODUCT_024 - Verify Product Count Is Greater Than Zero","webkit","2026-05-28","failed","2026-05-28","Product Filter Tests","product/filter.spec.js","",""
"","498","TC_PRODUCT_017 - Verify Selected Sorting Option Remains Active","webkit","2026-05-28","failed","2026-05-28","Product Sorting Tests","product/sorting.spec.js","",""
"","907","17. Forgot Password Invalid Email","chromium","2026-05-28","passed","2026-05-28","","auth/login.spec.js","",""
"","1005","TC_PRODUCT_004 - Verify Product Price Visible","chromium","2026-05-28","failed","2026-05-28","Product Service Tests","product/product.spec.js","",""
"","1328","Registration with Invalid Email","firefox","2026-05-28","passed","2026-05-28","","auth/registration.spec.js","",""
"","6083","7. Login with Invalid Password","chromium","2026-05-28","failed","2026-05-28","","auth/login.spec.js","",""
"","2090","TC_PRODUCT_003 - Open Product Details Page","webkit","2026-05-28","failed","2026-05-28","Product Service Tests","product/product.spec.js","",""
"","118","TC_PRODUCT_018 - Verify Product Count After Sorting","chromium","2026-05-28","failed","2026-05-28","Product Sorting Tests","product/sorting.spec.js","",""
"","945","TC_PRODUCT_022 - Verify Product Page Loads Successfully","firefox","2026-05-28","failed","2026-05-28","Product Filter Tests","product/filter.spec.js","",""
"","6727","20. Multiple Invalid Login Attempts","firefox","2026-05-28","failed","2026-05-28","","auth/login.spec.js","",""
"","1364","TC_PRODUCT_018 - Verify Product Count After Sorting","firefox","2026-05-28","failed","2026-05-28","Product Sorting Tests","product/sorting.spec.js","",""
"","326","TC_PRODUCT_016 - Sort Products By Price High To Low","webkit","2026-05-28","failed","2026-05-28","Product Sorting Tests","product/sorting.spec.js","",""
"","6099","8. Login with Empty Fields","chromium","2026-05-28","passed","2026-05-28","","auth/login.spec.js","",""
"","7591","7. Login with Invalid Password","firefox","2026-05-28","failed","2026-05-28","","auth/login.spec.js","",""
"","1417","16. Verify Password Field Is Hidden","webkit","2026-05-28","passed","2026-05-28","","auth/login.spec.js","",""
"","20686","5. Registration with Existing Email","chromium","2026-05-28","failed","2026-05-28","","auth/registration.spec.js","",""
"","132","TC_PRODUCT_020 - Verify Products Are Visible After Applying Sorting","chromium","2026-05-28","failed","2026-05-28","Product Sorting Tests","product/sorting.spec.js","",""
"","1155","TC_PRODUCT_026 - Verify Add To Cart Button Is Visible","firefox","2026-05-28","failed","2026-05-28","Product Filter Tests","product/filter.spec.js","",""
"","825","18. Remember Me Checkbox Visible","firefox","2026-05-28","passed","2026-05-28","","auth/login.spec.js","",""
"","5815","20. Multiple Invalid Login Attempts","chromium","2026-05-28","failed","2026-05-28","","auth/login.spec.js","",""
"","1187","14. Login With Invalid Email Format","firefox","2026-05-28","passed","2026-05-28","","auth/login.spec.js","",""
"","1049","12. Password Minimum Length Validation","firefox","2026-05-28","passed","2026-05-28","","auth/login.spec.js","",""
"","21187","5. Registration with Existing Email","webkit","2026-05-28","failed","2026-05-28","","auth/registration.spec.js","",""
"","1816","TC_PRODUCT_005 - Verify Product Image Visible","webkit","2026-05-28","failed","2026-05-28","Product Service Tests","product/product.spec.js","",""
"","1020","TC_PRODUCT_001 - Search Existing Product","chromium","2026-05-28","failed","2026-05-28","Product Service Tests","product/product.spec.js","",""
"","528","4.Registration with Password Mismatch","chromium","2026-05-28","passed","2026-05-28","","auth/registration.spec.js","",""
"","925","19. Logout Without Active Session","firefox","2026-05-28","passed","2026-05-28","","auth/logout.spec.js","",""
"","12632","8. Login with Empty Fields","webkit","2026-05-28","passed","2026-05-28","","auth/login.spec.js","",""
"","6933","11. Forgot Password","firefox","2026-05-28","failed","2026-05-28","","auth/login.spec.js","",""
"","2559","TC_PRODUCT_001 - Search Existing Product","firefox","2026-05-28","failed","2026-05-28","Product Service Tests","product/product.spec.js","",""
"","109","TC_PRODUCT_024 - Verify Product Count Is Greater Than Zero","chromium","2026-05-28","failed","2026-05-28","Product Filter Tests","product/filter.spec.js","",""
"","9370","6. Successful Registration","webkit","2026-05-28","passed","2026-05-28","","auth/registration.spec.js","",""
"","8598","6. Successful Registration","chromium","2026-05-28","passed","2026-05-28","","auth/registration.spec.js","",""
"","1693","TC_PRODUCT_002 - Search Non Existing Product","firefox","2026-05-28","failed","2026-05-28","Product Search Tests","product/search.spec.js","",""
"","26771","10. Logout Functionality","firefox","2026-05-28","failed","2026-05-28","","auth/logout.spec.js","",""
"","434","TC_PRODUCT_001 - Search Existing Product","webkit","2026-05-28","failed","2026-05-28","Product Search Tests","product/search.spec.js","",""
"","3605","TC_PRODUCT_003 - Open Product Details Page","firefox","2026-05-28","failed","2026-05-28","Product Service Tests","product/product.spec.js","",""
"","134","TC_PRODUCT_015 - Sort Products By Price Low To High","chromium","2026-05-28","failed","2026-05-28","Product Sorting Tests","product/sorting.spec.js","",""
"","36772","1.Valid Registration","firefox","2026-05-28","failed","2026-05-28","","auth/registration.spec.js","",""
"","1043","TC_PRODUCT_023 - Verify Products Are Visible","firefox","2026-05-28","failed","2026-05-28","Product Filter Tests","product/filter.spec.js","",""
"","799","2.Registration with Empty Fields","webkit","2026-05-28","passed","2026-05-28","","auth/registration.spec.js","",""
"","946","16. Verify Password Field Is Hidden","chromium","2026-05-28","passed","2026-05-28","","auth/login.spec.js","",""
"","325","TC_PRODUCT_013 - Sort Products By Name A-Z","webkit","2026-05-28","failed","2026-05-28","Product Sorting Tests","product/sorting.spec.js","",""
"","997","4.Registration with Password Mismatch","firefox","2026-05-28","passed","2026-05-28","","auth/registration.spec.js","",""
"","1098","17. Forgot Password Invalid Email","firefox","2026-05-28","passed","2026-05-28","","auth/login.spec.js","",""
"","286","TC_PRODUCT_021 - Verify User Can Change Sorting Multiple Times","webkit","2026-05-28","failed","2026-05-28","Product Sorting Tests","product/sorting.spec.js","",""
"","405","TC_PRODUCT_026 - Verify Add To Cart Button Is Visible","webkit","2026-05-28","failed","2026-05-28","Product Filter Tests","product/filter.spec.js","",""
"","2041","14. Login With Invalid Email Format","webkit","2026-05-28","passed","2026-05-28","","auth/login.spec.js","",""
"","283","TC_PRODUCT_020 - Verify Products Are Visible After Applying Sorting","webkit","2026-05-28","failed","2026-05-28","Product Sorting Tests","product/sorting.spec.js","",""
"","128","TC_PRODUCT_002 - Search Non Existing Product","chromium","2026-05-28","failed","2026-05-28","Product Search Tests","product/search.spec.js","",""
"","146","TC_PRODUCT_025 - Verify Product Titles Are Visible","chromium","2026-05-28","failed","2026-05-28","Product Filter Tests","product/filter.spec.js","",""
"","6316","20. Multiple Invalid Login Attempts","webkit","2026-05-28","failed","2026-05-28","","auth/login.spec.js","",""
"","1828","TC_PRODUCT_017 - Verify Selected Sorting Option Remains Active","firefox","2026-05-28","failed","2026-05-28","Product Sorting Tests","product/sorting.spec.js","",""
"","489","2.Registration with Empty Fields","chromium","2026-05-28","passed","2026-05-28","","auth/registration.spec.js","",""
"","713","TC_PRODUCT_023 - Verify Products Are Visible","webkit","2026-05-28","failed","2026-05-28","Product Filter Tests","product/filter.spec.js","",""
"","7721","15. Login With Unregistered Email","webkit","2026-05-28","failed","2026-05-28","","auth/login.spec.js","",""
"","104","TC_PRODUCT_026 - Verify Add To Cart Button Is Visible","chromium","2026-05-28","failed","2026-05-28","Product Filter Tests","product/filter.spec.js","",""
